lead_id,lead_created_date,source,product,segment,msisdn,country
LEADQICATVAZ,2025-07-20,FIELD,INSURANCE_ONLY,NEW,707901903,ZM
LEADYHE7UR23,2025-06-19,WINBACK,PHONE+INSURANCE,CHURN_RISK_30,725556386,UG
LEADXXC02DGT,2025-08-09,INBOUND,PHONE+INSURANCE,LAPSED,718814949,KE
LEADDXTAD1IO,2025-07-24,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_30,764606833,ZM
LEAD72KZ02XR,2025-06-17,FIELD,UPGRADE,CHURN_RISK_60,725487660,ZM
LEADBR7TCS4C,2025-05-22,INBOUND,PHONE+INSURANCE,LAPSED,709121552,GH
LEADVWPVS7HZ,2025-07-28,REFERRAL,UPGRADE,CHURN_RISK_30,732035886,UG
LEADQ99CHJ75,2025-05-16,REFERRAL,INSURANCE_ONLY,HIGH_VALUE,732787299,KE
LEAD3KX7EEDT,2025-08-08,INBOUND,PHONE+INSURANCE,HIGH_VALUE,736553958,KE
LEADR64DPJA1,2025-07-18,REFERRAL,PHONE+INSURANCE,HIGH_VALUE,785511909,GH
LEADC56T4UFE,2025-05-29,FIELD,OTHER,NEW,741373735,KE
LEADYYMU5907,2025-06-10,FIELD,CASH_LOAN,LAPSED,731774346,GH
LEAD0L7253J2,2025-06-06,REFERRAL,UPGRADE,NEW,714508349,KE
LEADK2IAGL58,2025-06-28,CROSS_SELL,CASH_LOAN,HIGH_VALUE,737463522,ZM
LEADE8G8JDP0,2025-05-18,FIELD,PHONE+INSURANCE,LAPSED,742101056,GH
LEADBPS3Y70H,2025-06-16,WINBACK,PHONE+INSURANCE,NEW,757887757,UG
LEADSYLZTGXN,2025-06-22,INBOUND,UPGRADE,NEW,723357554,KE
LEADPUXQPHR6,2025-06-10,REFERRAL,UPGRADE,CHURN_RISK_60,798779073,GH
LEAD31YIHAIR,2025-05-26,DIGITAL,UPGRADE,HIGH_VALUE,709774839,GH
LEADOFY6452H,2025-07-17,REFERRAL,PHONE+INSURANCE,HIGH_VALUE,793403697,ZM
LEAD2Y9V86WZ,2025-06-01,FIELD,PHONE+INSURANCE,NEW,767750178,ZM
LEADJIW1SWJC,2025-07-11,CROSS_SELL,INSURANCE_ONLY,NEW,738349783,ZM
LEADNFHOLQC3,2025-06-13,WINBACK,CASH_LOAN,LAPSED,752274692,UG
LEADAM148P0T,2025-07-15,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_30,780967191,ZM
LEADY20479T6,2025-06-27,REFERRAL,UPGRADE,NEW,779442503,ZM
LEADBNHL1N13,2025-06-07,CROSS_SELL,CASH_LOAN,NEW,733859311,ZM
LEADX2X18HAF,2025-06-12,REFERRAL,INSURANCE_ONLY,CHURN_RISK_30,716941092,GH
LEADGV0E38DA,2025-07-01,FIELD,PHONE+INSURANCE,LAPSED,741870192,GH
LEADV3IZKY22,2025-05-24,CROSS_SELL,PHONE+INSURANCE,CHURN_RISK_30,775958181,UG
LEAD43D8W3ZP,2025-05-16,WINBACK,UPGRADE,LAPSED,798488338,GH
LEADP0J43D5I,2025-07-13,WINBACK,PHONE+INSURANCE,CHURN_RISK_30,762372114,ZM
LEADRMJKV5US,2025-06-07,WINBACK,UPGRADE,HIGH_VALUE,725643159,GH
LEADZQAKOIXN,2025-08-05,CROSS_SELL,CASH_LOAN,NEW,774285882,ZM
LEADLIZL08YG,2025-06-18,WINBACK,OTHER,CHURN_RISK_30,799133838,ZM
LEAD3KMKZEBB,2025-05-27,REFERRAL,INSURANCE_ONLY,CHURN_RISK_30,739209916,GH
LEADKRM8J5EC,2025-07-27,WINBACK,PHONE+INSURANCE,NEW,766001106,KE
LEAD9E1V2ISQ,2025-05-25,WINBACK,PHONE+INSURANCE,CHURN_RISK_60,759421007,GH
LEAD8D1WJCIT,2025-08-01,WINBACK,UPGRADE,NEW,775958181,KE
